minute,p_home_shot,p_away_shot,p_home_sot,p_away_sot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_red,p_away_red,p_home_penalty,p_away_penalty,p_home_corner,p_away_corner,p_var_review,p_any_injury,p_any_substitution,expected_home_possession,p_home_leading_after,p_draw_after,p_away_leading_after,expected_score_home_after,expected_score_away_after,most_likely_score_after
34,0.140315,0.134595,0.05176,0.049855,0.01548,0.0147,0.11824,0.10405,0.017185,0.01535,0.001115,0.00097,0.002245,0.002145,0.03673,0.033095,0.005465,0.00112,0.00112,0.5041582810640536,0.2581,0.48457,0.25733,0.46984,0.466335,0-0
35,0.14136,0.1328,0.051625,0.049,0.015,0.01455,0.11872,0.10472,0.01732,0.01539,0.00109,0.00097,0.0021,0.001895,0.03742,0.03356,0.00517,0.001175,0.001175,0.5041289560640536,0.262705,0.475975,0.26132,0.48488,0.480905,0-0
36,0.140195,0.13413,0.05133,0.049745,0.01494,0.01534,0.11635,0.103615,0.01713,0.01535,0.001025,0.001005,0.002175,0.001875,0.03711,0.03335,0.005305,0.00118,0.00118,0.5041465560640536,0.266345,0.468155,0.2655,0.49984,0.496265,0-0
37,0.14039,0.13287,0.050895,0.04933,0.014745,0.014505,0.11709,0.10361,0.017225,0.015335,0.00101,0.0009,0.002135,0.00193,0.03707,0.033205,0.005035,0.001135,0.001135,0.5041387060640535,0.270135,0.460595,0.26927,0.514615,0.5108,0-0
38,0.141615,0.132785,0.05157,0.049145,0.01505,0.01499,0.11824,0.10426,0.017105,0.01558,0.0009,0.000935,0.002135,0.00204,0.03824,0.03294,0.00522,0.001265,0.001265,0.5041397560640535,0.273805,0.45329,0.272905,0.529675,0.52582,0-0
39,0.141065,0.133855,0.051865,0.04969,0.015155,0.01447,0.117615,0.10444,0.0176,0.015655,0.00104,0.00085,0.00218,0.001995,0.03757,0.033775,0.005235,0.001125,0.001125,0.5041338810640535,0.27701,0.446695,0.276295,0.544845,0.54031,0-0
40,0.13939,0.13273,0.050825,0.04957,0.01471,0.014855,0.117365,0.104925,0.016935,0.01568,0.001125,0.000935,0.002115,0.00196,0.03679,0.032505,0.005235,0.001095,0.001095,0.5041138310640536,0.280335,0.440265,0.2794,0.55958,0.55519,0-0
41,0.148005,0.141235,0.05345,0.052585,0.015725,0.01575,0.123395,0.11066,0.017705,0.01606,0.00119,0.000905,0.00226,0.002165,0.03908,0.03588,0.005385,0.00128,0.00128,0.5040963560640536,0.283635,0.433635,0.28273,0.57532,0.57097,0-0
42,0.14914,0.142415,0.05353,0.05243,0.015665,0.01569,0.12631,0.111265,0.01887,0.01622,0.00106,0.00109,0.00224,0.002145,0.039785,0.034995,0.00539,0.001105,0.001105,0.5041121089581483,0.286895,0.42672,0.286385,0.591025,0.58669,0-0
43,0.147605,0.1406,0.053405,0.051765,0.015875,0.01596,0.12357,0.111355,0.01765,0.0162,0.001095,0.000985,0.00234,0.002235,0.039475,0.035025,0.00562,0.001085,0.001085,0.5041028589581483,0.289915,0.42074,0.289345,0.606925,0.60266,0-0
44,0.148365,0.14228,0.054105,0.05263,0.015925,0.01583,0.125005,0.109715,0.01863,0.016525,0.00118,0.00092,0.002465,0.00225,0.039175,0.03594,0.005625,0.001375,0.001375,0.5040864839581483,0.29281,0.414935,0.292255,0.62288,0.61851,0-0
45,0.150095,0.14191,0.05543,0.05307,0.01644,0.015905,0.124225,0.10961,0.01834,0.016005,0.00119,0.001065,0.002495,0.00222,0.03959,0.03513,0.00578,0.00107,0.00107,0.5040622589581483,0.29623,0.408555,0.295215,0.639325,0.634435,0-0
46,0.149025,0.141865,0.05487,0.05345,0.016625,0.01612,0.12652,0.110505,0.01835,0.01643,0.00096,0.00104,0.00243,0.00217,0.03885,0.0353,0.005555,0.001025,0.001025,0.5040637839581482,0.299055,0.40301,0.297935,0.65598,0.650575,0-0
