minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,p_scoreless_after,p_btts_after,expected_home_goals_after,expected_away_goals_after
62,1.0,0.105005,0.09436,0.012101666666666667,0.009693333333333333,0.130795,0.13066333333333333,0.019011666666666666,0.018828333333333332,0.03127,0.028851666666666668,0.3373233333333333,0.42396666666666666,0.23871,0.28897833333333334,0.23866833333333334,0.71902,0.5640633333333334
63,1.0,0.10984666666666666,0.099325,0.012458333333333333,0.010021666666666667,0.13038333333333332,0.13043333333333335,0.018181666666666665,0.018173333333333333,0.029923333333333333,0.027663333333333335,0.3397633333333333,0.42024833333333333,0.23998833333333333,0.283035,0.24479833333333334,0.7314783333333333,0.574085
64,1.0,0.11046666666666667,0.099635,0.012453333333333334,0.01,0.12916833333333333,0.13090166666666667,0.016633333333333333,0.016823333333333333,0.031068333333333333,0.0289,0.342065,0.416775,0.24116,0.2772266666666667,0.25076166666666666,0.7439316666666667,0.584085
65,1.0,0.107865,0.09784333333333334,0.012098333333333332,0.009915,0.12858333333333333,0.12941833333333333,0.017308333333333332,0.017255,0.032025,0.029668333333333335,0.34424166666666667,0.4133833333333333,0.242375,0.2715516666666667,0.25672,0.75603,0.594
66,1.0,0.10667833333333333,0.09680166666666666,0.011363333333333333,0.00903,0.12638833333333332,0.12715833333333335,0.019345,0.019578333333333333,0.036015,0.033535,0.34628333333333333,0.4103,0.24341666666666667,0.26639666666666667,0.2622833333333333,0.7673933333333334,0.60303
67,1.0,0.11534666666666667,0.10400666666666666,0.012275,0.00988,0.12823833333333334,0.12860833333333332,0.018841666666666666,0.018951666666666665,0.03378833333333333,0.03148833333333333,0.3482266666666667,0.40741,0.24436333333333332,0.26110666666666665,0.26843833333333333,0.7796683333333333,0.61291
68,1.0,0.11788333333333334,0.10768833333333333,0.012261666666666667,0.010211666666666668,0.12789666666666666,0.12888166666666667,0.01924,0.01913166666666667,0.034236666666666665,0.03177666666666667,0.3502266666666667,0.40435666666666664,0.24541666666666667,0.2556733333333333,0.2746,0.79193,0.6231216666666667
69,1.0,0.12181833333333333,0.11013333333333333,0.01243,0.00974,0.12603666666666666,0.125795,0.019475,0.019421666666666667,0.035265,0.03311833333333333,0.35225666666666666,0.4015316666666667,0.24621166666666666,0.25069,0.28070833333333334,0.80436,0.6328616666666667
70,1.0,0.12049333333333333,0.10838666666666667,0.012846666666666666,0.009981666666666666,0.12487833333333333,0.12496166666666667,0.017663333333333333,0.017921666666666666,0.03725166666666667,0.0351,0.354325,0.39875333333333335,0.24692166666666668,0.24550333333333332,0.28694,0.8172066666666666,0.6428433333333333
71,1.0,0.11974666666666667,0.10820333333333333,0.012773333333333333,0.010115,0.12214333333333334,0.12213666666666667,0.015758333333333333,0.016158333333333334,0.03879333333333333,0.036221666666666666,0.35634,0.39604833333333334,0.24761166666666667,0.240495,0.29318333333333335,0.82998,0.6529583333333333
72,1.0,0.11809166666666666,0.10733333333333334,0.012423333333333333,0.010106666666666667,0.12431333333333333,0.12382333333333333,0.014268333333333333,0.014291666666666666,0.03751666666666666,0.03545,0.35821166666666665,0.39324,0.24854833333333334,0.23553666666666667,0.29923833333333333,0.8424033333333333,0.663065
73,1.0,0.11826666666666667,0.107555,0.01289,0.010195,0.12237833333333334,0.12277,0.015785,0.016228333333333334,0.03426666666666667,0.03207666666666667,0.36011666666666664,0.39062,0.24926333333333334,0.23059,0.3055616666666667,0.8552933333333333,0.67326
74,1.0,0.1099,0.100265,0.012281666666666666,0.009596666666666667,0.12176333333333333,0.12139166666666666,0.01789666666666667,0.017515,0.03456833333333333,0.03286,0.362005,0.38813333333333333,0.24986166666666668,0.22610333333333332,0.31158,0.867575,0.6828566666666667
75,1.0,0.10895833333333334,0.098765,0.011515,0.009031666666666667,0.12350166666666666,0.12443833333333333,0.01593,0.016211666666666666,0.037478333333333336,0.034971666666666665,0.3637416666666667,0.385855,0.2504033333333333,0.22198833333333334,0.31720166666666666,0.87909,0.6918883333333333
76,1.0,0.10670666666666667,0.09671666666666667,0.011446666666666667,0.009261666666666666,0.12171,0.12199166666666666,0.016153333333333332,0.017028333333333333,0.035381666666666665,0.033765,0.3653533333333333,0.38356,0.2510866666666667,0.21796,0.32278666666666667,0.8905366666666666,0.70115
77,1.0,0.10057,0.09102,0.010526666666666667,0.008558333333333333,0.11972166666666667,0.12078166666666666,0.018641666666666667,0.01874,0.03471333333333333,0.03255,0.36685833333333334,0.38155666666666666,0.251585,0.214265,0.3278816666666667,0.9010633333333333,0.7097083333333334
78,1.0,0.10460833333333333,0.09501166666666666,0.011236666666666667,0.008691666666666667,0.11966166666666667,0.12071333333333334,0.022146666666666665,0.02225,0.03471,0.032775,0.36845333333333335,0.37963166666666665,0.251915,0.21054833333333334,0.33330666666666664,0.9123,0.7184
79,1.0,0.1082,0.09901333333333333,0.011605,0.009518333333333334,0.11608,0.11692666666666666,0.022325,0.022465,0.03681333333333334,0.03517666666666667,0.36988166666666666,0.3776333333333333,0.252485,0.20670333333333332,0.33898333333333336,0.923905,0.7279183333333333
80,1.0,0.10699,0.09712166666666666,0.011518333333333334,0.009236666666666667,0.11955666666666667,0.12081333333333333,0.020678333333333333,0.021255,0.03699,0.03519,0.371275,0.37572,0.253005,0.20294833333333334,0.344535,0.9354233333333334,0.737155
81,1.0,0.107585,0.09832333333333333,0.011781666666666666,0.009553333333333334,0.126145,0.12738666666666668,0.02235,0.022656666666666665,0.03512333333333333,0.033615,0.3726566666666667,0.37371333333333334,0.25363,0.19914166666666666,0.35018,0.947205,0.7467083333333333
82,1.0,0.09968,0.0914,0.010933333333333333,0.008978333333333333,0.12680333333333332,0.127135,0.02402666666666667,0.023788333333333335,0.03194166666666667,0.029975,0.3739133333333333,0.3718783333333333,0.2542083333333333,0.19560833333333333,0.3554616666666667,0.9581383333333333,0.7556866666666666
83,1.0,0.104245,0.09568333333333333,0.011638333333333334,0.009453333333333333,0.12992166666666666,0.13024333333333332,0.024833333333333332,0.0247,0.033286666666666666,0.03183833333333334,0.3753166666666667,0.36996666666666667,0.25471666666666665,0.19189833333333334,0.36101666666666665,0.9697766666666666,0.76514
84,1.0,0.10650666666666667,0.09846666666666666,0.011588333333333334,0.009163333333333334,0.13782666666666665,0.13746166666666668,0.027353333333333334,0.0277,0.033253333333333336,0.03265333333333333,0.3768183333333333,0.3680583333333333,0.2551233333333333,0.188305,0.36644,0.981365,0.7743033333333333
85,1.0,0.10239166666666667,0.094165,0.011225,0.009226666666666666,0.15142666666666665,0.151375,0.029886666666666666,0.030105,0.028743333333333333,0.027733333333333332,0.37810333333333335,0.3663983333333333,0.2554983333333333,0.18499833333333332,0.37193166666666666,0.99259,0.78353
86,1.0,0.10376333333333333,0.094285,0.010698333333333334,0.008715,0.152295,0.15364,0.031768333333333336,0.03195166666666667,0.027816666666666667,0.026153333333333334,0.379325,0.36464,0.256035,0.181845,0.37692166666666665,1.0032883333333333,0.792245
87,1.0,0.107295,0.0987,0.010878333333333334,0.008928333333333333,0.15541,0.15533166666666667,0.03249666666666667,0.031995,0.029145,0.028076666666666666,0.38054333333333334,0.363095,0.25636166666666665,0.178745,0.38215666666666664,1.0141666666666667,0.8011733333333333
