group,contract,side,central_probability,spec_p10,confidence_class,external_benchmark_probability,external_benchmark_source,ask,bid,spread,fee,central_net_edge,robust_edge,required_edge,maker_robust_edge,maker_decision,maker_queue_depth_at_price_usd,maker_recommended_amount_10k,max_entry,depth_1c_usd,market_volume,decision,recommended_amount_10k
totals,Total over 4.5,NO,0.916424,0.911445,standard,,,0.9025,0.9,0.0025,0.0044,0.009524,-0.000455,0.02,0.006445,PASS,29089.25,0.0,0.8812,65533.94,120962.4,PASS,0.0
totals,Total over 5.5,NO,0.967669,0.964266,standard,,,0.962,0.961,0.001,0.001828,0.003841,-0.004562,0.02,-0.001734,PASS,4430.43,0.0,0.9362,90194.84,160233.59,PASS,0.0
totals,Total over 6.5,NO,0.990041,0.988373,standard,,,0.988,0.986,0.002,0.000593,0.001448,-0.00522,0.02,-0.002627,PASS,2613.25,0.0,0.9615,30997.09,55757.6,PASS,0.0
totals,Total over 7.5,NO,0.996922,0.996203,standard,,,0.996,0.995,0.001,0.000199,0.000723,-0.004996,0.02,-0.003797,PASS,683.26,0.0,0.9697,68705.04,31160.73,PASS,0.0
totals,Total over 8.5,NO,0.999222,0.99898,standard,,,0.999,0.998,0.001,5e-05,0.000172,-0.00507,0.02,-0.00402,PASS,1222.44,0.0,0.9726,104044.31,49789.92,PASS,0.0
btts,Both teams to score,NO,0.502274,0.501657,standard,0.5,"Betfair matchday odds 10/11 both sides, captured 2026-07-15",0.48,0.47,0.01,0.01248,0.009794,0.004177,0.02,0.026657,MAKER_VALUE,39899.74,20.0,0.4642,210688.2,3228436.7,PASS,0.0
btts,Both teams to score first half,NO,0.81966,0.819555,low,0.813953,"Betfair matchday odds Yes 4/1, No 1/7; normalized for overround, captured 2026-07-15",0.82,0.81,0.01,0.00738,-0.00772,-0.017825,0.04,-0.000445,PASS,9788.38,0.0,0.7604,90985.28,86660.27,PASS,0.0
half_total,First half over 0.5,NO,0.410694,0.408843,low,,,0.38,0.37,0.01,0.01178,0.018914,0.007063,0.04,0.028843,PASS,41789.91,0.0,0.3475,198332.29,36619.81,WATCH,0.0
half_total,First half over 1.5,NO,0.776173,0.774522,low,,,0.75,0.74,0.01,0.009375,0.016798,0.005147,0.04,0.024522,PASS,36722.0,0.0,0.7143,209030.49,66855.83,WATCH,0.0
half_total,First half over 2.5,NO,0.938795,0.938058,low,,,0.93,0.92,0.01,0.003255,0.00554,-0.005197,0.04,0.008058,PASS,44196.25,0.0,0.8828,50919.79,13234.15,PASS,0.0
team_total,England over 0.5,NO,0.315229,0.308545,standard,,,0.29,0.28,0.01,0.010295,0.014934,0.00325,0.02,0.023545,MAKER_VALUE,26076.73,20.0,0.2736,21130.96,54905.43,WATCH,0.0
team_total,England over 1.5,NO,0.68237,0.678922,standard,,,0.67,0.66,0.01,0.011055,0.001315,-0.007133,0.02,0.013922,PASS,62622.65,0.0,0.6424,29160.35,130537.47,PASS,0.0
team_total,England over 2.5,NO,0.895042,0.891035,standard,,,0.89,0.88,0.01,0.004895,0.000147,-0.00886,0.02,0.006035,PASS,127.36,0.0,0.86,127322.55,11579.08,PASS,0.0
team_total,Argentina over 0.5,NO,0.325292,0.318825,standard,,,0.31,0.3,0.01,0.010695,0.004597,-0.00687,0.02,0.013825,PASS,33907.29,0.0,0.2836,15285.58,43504.57,PASS,0.0
team_total,Argentina over 1.5,YES,0.314149,0.311265,standard,,,0.31,0.3,0.01,0.010695,-0.006546,-0.01443,0.02,0.006265,PASS,2482.31,0.0,0.2762,26555.47,150311.04,PASS,0.0
team_total,Argentina over 2.5,YES,0.11106,0.10709,standard,,,0.1,0.09,0.01,0.0045,0.00656,-0.00241,0.02,0.01209,PASS,2750.46,0.0,0.0784,4555.15,19947.31,PASS,0.0
half_team,England first half over 0.5,NO,0.640884,0.638721,low,,,0.6,0.59,0.01,0.012,0.028884,0.016721,0.04,0.038721,PASS,54621.84,0.0,0.5765,572.27,25918.15,WATCH,0.0
